Zeit [s];r [v];l [v];ySystune [v];yGenetic [v];yDifferentialEvol [v]
;-;-;-;-;-
0;4;3;1;1;1
0;ebbd34;e0162e;3189f5;2cf533;cc2cf5
4.64;0;0;2.90589282;2.882049782;2.933280099
4.65;0;0;2.671973467;2.663596197;2.704515942
4.66;0;0;2.477363184;2.438054517;2.479940801
4.67;0;0;2.280497759;2.26245446;2.312717941
4.68;0;0;2.089110026;2.094587449;2.120363561
4.69;0;0;1.93413125;1.91512139;1.950563504
4.7;0;0;1.782696838;1.75530978;1.802673284
4.71;0;0;1.622563161;1.628684969;1.660582812
4.72;0;0;1.482728247;1.497871654;1.528158471
4.73;0;0;1.364158643;1.367380642;1.394123236
4.74;0;0;1.252033113;1.243978121;1.273620494
4.75;0;0;1.139263257;1.136685661;1.175994002
4.76;0;0;1.051625017;1.032293058;1.07546777
4.77;0;0;0.953676446;0.964953417;1.000073131
4.78;0;0;0.867649289;0.883759241;0.909212967
4.79;0;0;0.790321541;0.812875464;0.843806564
4.8;0;0;0.712993823;0.731359154;0.775178194
4.81;0;0;0.646943089;0.697206085;0.715893612
4.82;0;0;0.610856843;0.629544362;0.655642452
4.83;0;0;0.587980744;0.582503368;0.604090672
4.84;0;0;0.552216707;0.536428981;0.552861104
4.85;0;0;0.506786723;0.496476373;0.499376159
4.86;0;0;0.468122914;0.452335195;0.449435409
4.87;0;0;0.437191873;0.410449413;0.408194025
4.88;0;0;0.404649844;0.383384759;0.358575496
4.89;0;0;0.37404101;0.341821189;0.324422488
4.9;0;0;0.346331964;0.304446203;0.286080911
4.91;0;0;0.323455894;0.271904195;0.253538905
4.92;0;0;0.300257628;0.238073399;0.217130528
4.93;0;0;0.280925741;0.21197536;0.197798649
4.94;0;0;0.253861103;0.187488314;0.174278198
4.95;0;0;0.243872964;0.165256656;0.151402146
4.96;0;0;0.227118666;0.139158625;0.125948512
4.97;0;0;0.210042172;0.114349389;0.104039058
4.98;0;0;0.193287877;0.087284771;0.082774001
4.99;0;0;0.179111167;0.073430265;0.068597298
5;0;0;0.162679073;0.054742794;0.057964771
5.01;0;0;0.15526852;0.045399058;0.042177081
5.02;0;0;0.143347198;0.033477742;0.029933566
